,status,best_model,mae_cv5,all_models_mae_cv5,n_train,n_pred
Loss.given.failure...prop..Qm.,ok,RF,54.912611267670215,"{'Linear': 139.04790768284715, 'RF': 54.912611267670215, 'GB': 56.68437674244107, 'XGB': 60.6569808439747}",8368,6
Loss.given.failure...liab..Qm.,ok,RF,53.49702869861203,"{'Linear': 82.3993013851619, 'RF': 53.49702869861203, 'GB': 54.65211011042036, 'XGB': 56.1575877624672}",8363,11
Loss.given.failure...BI..Qm.,ok,RF,5.448770716995602,"{'Linear': 8.15206585017261, 'RF': 5.448770716995602, 'GB': 6.109379164586629, 'XGB': 5.55506809564815}",4109,4265
